ticker,status,assets_missing,liabilities_missing,equity_missing
FIX,perfect,False,False,False
COP,perfect,False,False,False
STZ,perfect,False,False,False
CEG,perfect,False,False,False
COO,perfect,False,False,False
CPRT,perfect,False,False,False
GLW,perfect,False,False,False
CSGP,perfect,False,False,False
COST,perfect,False,False,False
CRH,perfect,False,False,False
CRWD,perfect,False,False,False
CCI,perfect,False,False,True
CSX,perfect,False,False,False
CMI,perfect,False,False,False
CVS,perfect,False,False,False
DRI,perfect,False,False,False
DDOG,perfect,False,False,False
DVA,perfect,False,False,False
DE,perfect,False,False,False
DELL,perfect,False,False,False
DXCM,perfect,False,False,False
FANG,perfect,False,False,False
DLR,perfect,False,False,False
DG,perfect,False,False,False
DLTR,perfect,False,False,False
D,perfect,False,False,False
DPZ,perfect,False,False,True
DASH,perfect,False,False,False
DHI,perfect,False,False,False
DD,perfect,False,False,False
EBAY,perfect,False,False,False
ECHO,perfect,False,False,False
ECL,perfect,False,False,False
EIX,perfect,False,False,False
EW,perfect,False,False,False
ELV,perfect,False,False,False
EME,perfect,False,False,False
EQT,perfect,False,False,False
EFX,perfect,False,False,False
EQIX,perfect,False,False,False
ERIE,perfect,False,False,False
ESS,perfect,False,False,False
EG,perfect,False,False,False
EXC,perfect,False,False,False
EXE,perfect,False,False,False
EXR,perfect,False,False,False
XOM,perfect,False,False,False
FDS,perfect,False,False,False
FICO,perfect,False,False,True
FRT,perfect,False,False,False
FERG,perfect,False,False,False
FIS,perfect,False,False,False
FITB,perfect,False,False,False
FSLR,perfect,False,False,False
FE,perfect,False,False,False
FISV,perfect,False,False,False
FLEX,perfect,False,False,False
F,perfect,False,False,False
FTNT,perfect,False,False,False
BEN,perfect,False,False,False
FCX,perfect,False,False,False
IT,perfect,False,False,False
GE,perfect,False,False,False
GEHC,perfect,False,False,False
GEV,perfect,False,False,False
GEN,perfect,False,False,False
GNRC,perfect,False,False,False
GIS,perfect,False,False,False
GM,perfect,False,False,False
GPN,perfect,False,False,False
GL,perfect,False,False,False
GS,perfect,False,False,False
HAL,perfect,False,False,False
HIG,perfect,False,False,False
HAS,perfect,False,False,False
DOC,perfect,False,False,False
HSIC,perfect,False,False,False
HSY,perfect,False,False,False
HLT,perfect,False,False,True
HD,perfect,False,False,False
HST,perfect,False,False,False
HWM,perfect,False,False,False
HUBB,perfect,False,False,False
HUM,perfect,False,False,False
HBAN,perfect,False,False,False
HII,perfect,False,False,False
IBM,perfect,False,False,False
IEX,perfect,False,False,False
IDXX,perfect,False,False,False
INCY,perfect,False,False,False
IR,perfect,False,False,False
PODD,perfect,False,False,False
IBKR,perfect,False,False,False
ICE,perfect,False,False,False
INTU,perfect,False,False,False
ISRG,perfect,False,False,False
IVZ,perfect,False,False,False
INVH,perfect,False,False,False
IQV,perfect,False,False,False
JBHT,perfect,False,False,False
JBL,perfect,False,False,False
JKHY,perfect,False,False,False
JNJ,perfect,False,False,False
JPM,perfect,False,False,False
KVUE,perfect,False,False,False
KDP,perfect,False,False,False
KEY,perfect,False,False,False
KEYS,perfect,False,False,False
KIM,perfect,False,False,False
KMI,perfect,False,False,False
KKR,perfect,False,False,False
KLAC,perfect,False,False,False
KHC,perfect,False,False,False
KR,perfect,False,False,False
LHX,perfect,False,False,False
LH,perfect,False,False,False
LRCX,perfect,False,False,False
LVS,perfect,False,False,False
LDOS,perfect,False,False,False
LEN,perfect,False,False,False
LII,perfect,False,False,False
LIN,perfect,False,False,False
LMT,perfect,False,False,False
L,perfect,False,False,False
LOW,perfect,False,False,True
LULU,perfect,False,False,False
LITE,perfect,False,False,False
MTB,perfect,False,False,False
MPC,perfect,False,False,False
MLM,perfect,False,False,False
MRVL,perfect,False,False,False
MAS,perfect,False,False,False
MA,perfect,False,False,False
MKC,perfect,False,False,False
MDT,perfect,False,False,False
META,perfect,False,False,False
MET,perfect,False,False,False
MTD,perfect,False,False,False
MGM,perfect,False,False,False
MU,perfect,False,False,False
MSFT,perfect,False,False,False
MAA,perfect,False,False,False
MRNA,perfect,False,False,False
TAP,perfect,False,False,False
MDLZ,perfect,False,False,False
MPWR,perfect,False,False,False
MCO,perfect,False,False,False
MS,perfect,False,False,False
MSCI,perfect,False,False,False
NDAQ,perfect,False,False,False
NTAP,perfect,False,False,False
NFLX,perfect,False,False,False
NEM,perfect,False,False,False
NEE,perfect,False,False,False
NSC,perfect,False,False,False
NTRS,perfect,False,False,False
NOC,perfect,False,False,False
NCLH,perfect,False,False,False
NRG,perfect,False,False,False
NUE,perfect,False,False,False
NVDA,perfect,False,False,False
NVR,perfect,False,False,False
ODFL,perfect,False,False,False
ON,perfect,False,False,False
OTIS,perfect,False,False,False
PCAR,perfect,False,False,False
PLTR,perfect,False,False,False
PANW,perfect,False,False,False
PH,perfect,False,False,False
PAYX,perfect,False,False,False
PYPL,perfect,False,False,False
PNR,perfect,False,False,False
PEP,perfect,False,False,False
PFE,perfect,False,False,False
PM,perfect,False,False,False
PSX,perfect,False,False,False
PNC,perfect,False,False,False
PPG,perfect,False,False,False
PFG,perfect,False,False,False
